Time,pro,kon
1871,0x7d90938c9Fe235eF80AcCe10A7f06112d95b89f2,0xa239A1C05AD5Cb0D2fdC5D5381D0014C3ee297a9
1614692393.9719822,0.0,0.0
1614692394.1765165,0.0,0.0
1614692394.3802576,0.0,0.0
1614692394.5845265,0.0,0.0
1614692394.7881331,0.0,0.0
1614692394.991865,0.0,0.0
1614692395.1956947,0.0,0.0
1614692395.4025152,0.0,0.0
1614692395.609006,0.0,0.0
1614692395.8153214,0.0,0.0
1614692396.021439,0.0,0.0
1614692396.2271333,0.0,0.0
1614692396.4327223,0.0,0.0
1614692396.6393454,0.0,0.0
1614692396.8455913,0.0,0.0
1614692397.050234,0.0,0.0
1614692397.255292,0.0,0.0
1614692397.4596322,0.0,0.0
1614692397.6641471,0.0,0.0
1614692397.8684955,0.0,0.0
1614692398.073128,0.0,0.0
1614692398.2781703,0.0,0.0
1614692398.48323,0.0,0.0
1614692398.6878073,0.0,0.0
1614692398.8922343,0.0,0.0
1614692399.0970657,0.0,0.0
1614692399.3016603,0.0,0.0
1614692399.5064619,0.0,0.0
1614692399.7108507,0.0,0.0
1614692399.9156117,0.0,0.0
1614692400.1209648,0.0,0.0
1614692400.329186,0.5640000000000001,0.0
1614692400.5340807,6.066,0.0
1614692400.7380447,0.0,0.0
1614692400.9419248,0.0,0.0
1614692401.145934,0.0,0.0
1614692401.3515408,0.36,0.0
1614692401.5570972,1.6480000000000001,0.0
1614692401.762433,0.6,0.0
1614692401.9684768,4.718,0.0
1614692402.2907965,7.038,0.0
1614692402.4945805,0.004,0.0
1614692402.6980524,0.022,0.0
1614692402.9018517,0.0,0.0
1614692403.1072745,7.5440000000000005,0.0
1614692403.3140955,0.358,0.0
1614692403.520486,0.004,0.0
1614692403.7264888,0.098,0.0
1614692403.9338021,0.0,0.0
1614692404.1403992,0.108,0.0
1614692404.3479493,0.004,0.0
1614692404.555471,2.48,0.0
1614692404.762853,1.8840000000000001,0.0
1614692404.9684594,3.234,0.0
1614692405.1738043,0.0,0.0
1614692405.3794663,0.846,0.0
1614692405.5850701,2.3040000000000003,0.0
1614692405.7905192,0.672,0.0
1614692405.9964554,0.0,0.0
1614692406.279345,0.8300000000000001,0.0
1614692406.4828787,0.0,0.0
1614692406.6866446,0.0,0.0
1614692406.8926654,2.152,0.0
1614692407.0980093,0.0,0.0
1614692407.3022766,7.426,0.0
1614692407.50626,7.6160000000000005,0.0
1614692407.7100592,0.5760000000000001,0.0
1614692407.9139044,0.658,0.0
1614692408.117805,1.494,0.0
1614692408.3248405,3.592,0.0
1614692408.5290713,2.274,0.0
1614692408.733172,4.774,0.0
1614692408.9373558,0.0,0.0
1614692409.1413276,0.252,0.0
1614692409.345485,7.6160000000000005,0.0
1614692409.5495114,0.004,0.0
1614692409.7537925,0.0,0.0
