Time,pro,kon
1811,0x7d90938c9Fe235eF80AcCe10A7f06112d95b89f2,0xa239A1C05AD5Cb0D2fdC5D5381D0014C3ee297a9
1614691819.642394,0,0
1614691819.8469706,0,0
1614691820.0508442,0,0
1614691820.2547674,0,0
1614691820.4586632,0,0
1614691820.6626256,0,0
1614691820.87126,0,0
1614691821.079542,0,0
1614691821.287827,0,0
1614691821.496332,0,0
1614691821.7049003,0,0
1614691821.9121027,0,0
1614691822.120085,0,0
1614691822.3273761,0,0
1614691822.533774,0,0
1614691822.7402089,0,0
1614691822.9467633,0,0
1614691823.1530037,0,0
1614691823.3569436,0,0
1614691823.5609982,0,0
1614691823.765047,0,0
1614691823.9724474,0,0
1614691824.1841187,0,0
1614691824.3880148,0,0
1614691824.5923889,0,0
1614691824.7971199,0,0
1614691825.0042434,0,0
1614691825.208801,0,0
1614691825.4129577,0,0
1614691825.617885,0,0
1614691825.8248487,0,0
1614691826.0319948,0,0
1614691826.2385654,0,0
1614691826.4459267,0,0
1614691826.653057,0,0
1614691826.8586679,0,0
1614691827.0653794,0,0
1614691827.270941,0,0
1614691827.4791899,0,0
1614691827.6875026,0,0
1614691827.896386,0,0
1614691828.1034944,0,0
1614691828.3128543,0,0
1614691828.516866,0,0
1614691828.720796,0,0
1614691828.9246194,0,0
1614691829.1319315,0,0
1614691829.3392572,0,0
1614691829.5466316,0,0
1614691829.7546186,0,0
1614691829.963017,0,0
1614691830.1701274,0,0
1614691830.3782198,0,0
1614691830.5844815,0,0
1614691830.7909882,0,0
1614691830.9996786,0,0
1614691831.2081726,0,0
1614691831.4119585,0,0
1614691831.6158137,0,0
1614691831.8197184,0,0
1614691832.0269496,0,0
1614691832.2341528,0,0
1614691832.4414861,0,0
1614691832.6528502,0,0
1614691832.8623714,0,0
1614691833.0696025,0,0
1614691833.2779694,0,0
1614691833.4864411,0,0
1614691833.6937408,0,0
1614691833.9011014,0,0
1614691834.1084101,0,0
1614691834.3146894,0,0
1614691834.5213132,0,0
1614691834.7282035,0,0
1614691834.932961,0,0
1614691835.1389554,0,0
1614691835.3442147,0,0
1614691835.5571518,0,0
1614691835.764578,0,0
1614691835.96858,0,0
1614691836.1731284,0,0
1614691836.3773212,0,0
1614691836.5835655,0,0
1614691836.790102,0,0
1614691836.9984415,0,0
1614691837.2072384,0,0
1614691837.4152968,0,0
1614691837.623383,0,0
