Time,pro,kon
1716,0x7d90938c9Fe235eF80AcCe10A7f06112d95b89f2,0xa239A1C05AD5Cb0D2fdC5D5381D0014C3ee297a9
1614691409.2211933,0,0
1614691409.4266036,0,0
1614691409.6332543,0,0
1614691409.83735,0,0
1614691410.0416706,0,0
1614691410.2459912,0,0
1614691410.4538066,0,0
1614691410.658145,0,0
1614691410.8623178,0,0
1614691411.0666418,0,0
1614691411.2743292,0,0
1614691411.4798124,0,0
1614691411.6861293,0,0
1614691411.8923144,0,0
1614691412.0981,0,0
1614691412.3042047,0,0
1614691412.5116568,0,0
1614691412.715714,0,0
1614691412.919833,0,0
1614691413.123966,0,0
1614691413.3310773,0,0
1614691413.5352967,0,0
1614691413.7395632,0,0
1614691413.943897,0,0
1614691414.1496522,0,0
1614691414.3550777,0,0
1614691414.5590951,0,0
1614691414.76322,0,0
1614691414.9675868,0,0
1614691415.1716056,0,0
1614691415.37566,0,0
1614691415.5796368,0,0
1614691415.7837903,0,0
1614691415.9881213,0,0
1614691416.1946604,0,0
1614691416.4010417,0,0
1614691416.6077745,0,0
1614691416.814145,0,0
1614691417.0202847,0,0
1614691417.2267773,0,0
1614691417.4314559,0,0
1614691417.6356359,0,0
1614691417.83968,0,0
1614691418.0473485,0,0
1614691418.2517657,0,0
1614691418.4565613,0,0
1614691418.6605985,0,0
1614691418.868035,0,0
1614691419.072571,0,0
1614691419.2766593,0,0
1614691419.480893,0,0
1614691419.6875365,0,0
1614691419.895281,0,0
1614691420.1022265,0,0
1614691420.3064153,0,0
1614691420.5104635,0,0
1614691420.7147737,0,0
1614691420.922279,0,0
1614691421.129017,0,0
1614691421.3361983,0,0
1614691421.5423656,0,0
1614691421.7486627,0,0
1614691421.9529347,0,0
1614691422.1571515,0,0
1614691422.3612132,0,0
1614691422.5671394,0,0
1614691422.775188,0,0
1614691422.9833503,0,0
1614691423.1873026,0,0
1614691423.391263,0,0
1614691423.595334,0,0
1614691423.8014708,0,0
1614691424.0058982,0,0
1614691424.2103188,0,0
1614691424.414373,0,0
1614691424.6214957,0,0
1614691424.8257318,0,0
1614691425.029901,0,0
1614691425.234087,0,0
1614691425.4409556,0,0
1614691425.6476202,0,0
1614691425.854807,0,0
1614691426.062135,0,0
1614691426.2696223,0,0
1614691426.4771006,0,0
1614691426.6815054,0,0
1614691426.8858473,0,0
1614691427.0915613,0,0
1614691427.2958512,0,0
1614691427.5003183,0,0
1614691427.7073967,0,0
1614691427.9119365,0,0
1614691428.1160116,0,0
1614691428.3204129,0,0
1614691428.5247276,0,0
1614691428.7289994,0,0
1614691428.933848,0,0
1614691429.137978,0,0
1614691429.3423018,0,0
1614691429.5471435,0,0
1614691429.7513876,0,0
1614691429.9556222,0,0
1614691430.160444,0,0
1614691430.3646963,0,0
1614691430.568944,0,0
1614691430.7745917,0,0
1614691430.9789655,0,0
1614691431.1831968,0,0
1614691431.3873343,0,0
1614691431.5944884,0,0
1614691431.8008487,0,0
1614691432.0077274,0,0
1614691432.214738,0,0
1614691432.4208596,0,0
1614691432.626705,0,0
1614691432.8323762,0,0
1614691433.0364258,0,0
1614691433.2405212,0,0
1614691433.4446602,0,0
1614691433.652205,0,0
1614691433.8600948,0,0
1614691434.0644832,0,0
1614691434.2684135,0,0
1614691434.4726405,0,0
1614691434.68018,0,0
1614691434.8843408,0,0
1614691435.0883915,0,0
1614691435.2925315,0,0
1614691435.5002964,0,0
1614691435.704438,0,0
1614691435.9086242,0,0
1614691436.1131117,0,0
1614691436.3198318,0,0
1614691436.52711,0,0
1614691436.7320244,0,0
1614691436.9365008,0,0
1614691437.140955,0,0
1614691437.3472474,0,0
1614691437.5516288,0,0
1614691437.7561104,0,0
1614691437.9608254,0,0
1614691438.1653543,0,0
1614691438.3696504,0,0
1614691438.5738146,0,0
1614691438.7790256,0,0
1614691438.9858906,0,0
1614691439.189938,0,0
1614691439.3944538,0,0
1614691439.598974,0,0
1614691439.8056054,0,0
1614691440.0101483,0,0
1614691440.2151012,0,0
1614691440.4215617,0,0
1614691440.6280487,0,0
1614691440.8326187,0,0
1614691441.0382416,0,0
1614691441.2426748,0,0
1614691441.4472907,0,0
1614691441.6514473,0,0
1614691441.8556323,0,0
1614691442.0599902,0,0
1614691442.2644076,0,0
1614691442.4719899,0,0
1614691442.6779637,0,0
1614691442.8842127,0,0
1614691443.0902994,0,0
1614691443.2943172,0,0
1614691443.4985795,0,0
1614691443.7028437,0,0
1614691443.9083943,0,0
1614691444.1129339,0,0
1614691444.3174891,0,0
1614691444.5219378,0,0
1614691444.7285073,0,0
1614691444.935451,0,0
1614691445.1396894,0,0
1614691445.3438294,0,0
1614691445.5479329,0,0
1614691445.7546177,0,0
1614691445.9621089,0,0
1614691446.168919,0,0
1614691446.3772974,0,0
1614691446.5823004,0,0
1614691446.7871335,0,0
1614691446.991542,0,0
1614691447.196717,0,0
1614691447.4022913,0,0
1614691447.6067185,0,0
1614691447.8114073,0,0
1614691448.0162032,0,0
1614691448.220547,0,0
1614691448.4249218,0,0
1614691448.6292427,0,0
1614691448.8337867,0,0
1614691449.0382974,0,0
1614691449.242709,0,0
1614691449.4480736,0,0
1614691449.652757,50,0
1614691449.857009,50,0
1614691450.06134,50,0
1614691450.2659254,50,0
1614691450.4703321,50,0
1614691450.6772609,50,0
1614691450.88198,50,0
1614691451.0864778,50,0
1614691451.290633,50,0
1614691451.4974334,50,0
1614691451.7057242,50,0
1614691451.9098878,50,0
1614691452.1139843,50,0
1614691452.318048,50,0
1614691452.5245862,50,0
1614691452.7299705,50,0
1614691452.9364681,50,0
1614691453.14316,50,0
1614691453.3501265,50,0
1614691453.5696046,50,0
1614691453.7737293,50,0
1614691453.9777436,50,0
1614691454.1872125,50,0
1614691454.3912315,50,0
1614691454.5954797,50,0
1614691454.8003573,50,0
1614691455.0068722,50,0
1614691455.2132127,50,0
1614691455.4172213,50,0
1614691455.6213653,50,0
1614691455.8257864,50,0
1614691456.0323718,50,0
1614691456.2364404,50,0
1614691456.4408293,50,0
1614691456.6453938,50,0
1614691456.8522282,50,0
1614691457.0565102,50,0
1614691457.260529,50,0
1614691457.4646394,50,0
1614691457.6723533,50,0
1614691457.878229,50,0
1614691458.0843875,50,0
1614691458.2900915,50,0
1614691458.4954195,50,0
1614691458.70745,50,0
1614691458.911363,50,0
1614691459.1157262,50,0
1614691459.322321,50,0
1614691459.5311263,50,0
1614691459.7396173,50,0
1614691459.9467661,50,0
1614691460.1507633,50,0
1614691460.3549025,50,0
1614691460.5590308,50,0
1614691460.7663906,50,0
1614691460.9739478,50,0
1614691461.1815863,50,0
1614691461.3887198,50,0
1614691461.5950704,50,0
1614691461.7989557,50,0
1614691462.003136,50,0
1614691462.2071927,50,0
1614691462.4112966,50,0
1614691462.6166809,50,0
1614691462.820605,50,0
1614691463.0247238,50,0
1614691463.229085,50,0
1614691463.4347858,50,0
1614691463.6395154,50,0
1614691463.8438652,50,0
1614691464.0481858,50,0
1614691464.2564356,50,0
1614691464.4605267,50,0
1614691464.6651504,50,0
1614691464.8692284,50,0
1614691465.0769303,50,0
1614691465.285062,50,0
1614691465.4889758,50,0
1614691465.6930704,50,0
1614691465.8970327,50,0
1614691466.1047573,50,0
1614691466.3090336,50,0
1614691466.5130322,50,0
1614691466.7171435,50,0
1614691466.9244614,50,0
1614691467.1317296,50,0
1614691467.3385186,50,0
1614691467.5453305,50,0
1614691467.7512832,50,0
1614691467.9567852,50,0
1614691468.16066,50,0
1614691468.3648179,50,0
1614691468.569672,50,0
1614691468.7748306,50,0
1614691468.9834268,50,0
1614691469.1873176,50,0
1614691469.3913028,50,0
1614691469.5952363,50,0
1614691469.802755,50,0
1614691470.0109975,50,0
1614691470.2150376,50,0
1614691470.4190218,50,0
1614691470.623058,50,0
1614691470.8305233,50,0
1614691471.0349672,50,0
1614691471.238892,50,0
1614691471.443257,50,0
1614691471.6533513,50,0
1614691471.8620012,50,0
1614691472.0684152,50,0
1614691472.274321,50,0
1614691472.4803698,50,0
1614691472.6858277,50,0
1614691472.891579,50,0
1614691473.0970237,50,0
1614691473.3053944,50,0
1614691473.5093148,50,0
1614691473.7305334,50,0
1614691473.934641,50,0
1614691474.1409602,50,0
1614691474.3450627,50,0
1614691474.5489783,50,0
1614691474.7530015,50,0
1614691474.9595697,50,0
1614691475.1665952,50,0
1614691475.3704214,50,0
1614691475.574485,50,0
1614691475.778466,50,0
1614691475.985625,50,0
1614691476.1914978,50,0
1614691476.3973482,50,0
1614691476.6026168,50,0
1614691476.8067,50,0
1614691477.0109642,50,0
1614691477.214962,50,0
1614691477.4188287,50,0
1614691477.623419,50,0
1614691477.8275893,50,0
1614691478.0328376,50,0
1614691478.2391555,50,0
1614691478.4434054,50,0
1614691478.647397,50,0
1614691478.851319,50,0
1614691479.0602362,50,0
1614691479.2701457,50,0
1614691479.4742713,50,0
1614691479.6784294,50,0
1614691479.8849614,50,0
1614691480.0925944,50,0
1614691480.300655,50,0
1614691480.5077984,50,0
1614691480.7117646,50,0
1614691480.9156656,50,0
1614691481.1197908,50,0
1614691481.324231,50,0
1614691481.528908,50,0
1614691481.7331784,50,0
1614691481.937245,50,0
1614691482.1422923,50,0
1614691482.3470142,50,0
1614691482.55178,50,0
1614691482.7563844,50,0
1614691482.960441,50,0
1614691483.1648092,50,0
1614691483.3993778,50,0
1614691483.6041203,50,0
1614691483.8086252,50,0
1614691484.0132415,50,0
