Time,pro,kon
1881,0x7d90938c9Fe235eF80AcCe10A7f06112d95b89f2,0xa239A1C05AD5Cb0D2fdC5D5381D0014C3ee297a9
1614692756.8137822,0.0,0.0
1614692757.0198088,0.308,0.0
1614692757.2252202,9.844,0.0
1614692757.431657,0.004,0.0
1614692757.6383476,0.448,0.0
1614692757.8444252,8.798,0.0
1614692758.0496066,0.322,0.0
1614692758.2550333,6.944,0.0
1614692758.4600453,5.01,0.0
1614692758.6657565,0.0,0.0
1614692758.8693871,4.184,0.0
1614692759.0732617,8.16,0.0
1614692759.277002,0.358,0.0
1614692759.4803987,5.642,0.0
1614692759.685766,0.934,0.0
1614692759.8913612,9.602,0.0
1614692760.2243419,0.322,0.0
1614692760.427927,0.738,0.0
1614692760.6316113,0.0,0.0
1614692760.8353562,2.854,0.0
1614692761.0390544,1.844,0.0
1614692761.2430613,3.5100000000000002,0.0
1614692761.4467273,2.576,0.0
1614692761.6503894,3.762,0.0
1614692761.8556228,0.0,0.0
1614692762.0627544,0.9400000000000001,0.0
1614692762.269027,1.02,0.0
1614692762.4744515,9.81,0.0
1614692762.6795707,7.408,0.0
1614692762.88295,0.36,0.0
1614692763.0865903,2.114,0.0
1614692763.2901194,6.226,0.0
1614692763.4936285,0.35000000000000003,0.0
1614692763.698741,0.004,0.0
1614692763.9039805,0.0,0.0
1614692764.1092775,10.208,0.0
1614692764.447698,1.238,0.0
1614692764.6513894,0.0,0.0
1614692764.8548396,7.11,0.0
1614692765.0581386,9.368,0.0
1614692765.265315,5.574,0.0
1614692765.4722176,9.866,0.0
1614692765.6788456,8.704,0.0
1614692765.8853061,5.892,0.0
1614692766.0912743,9.208,0.0
1614692766.296629,9.048,0.0
1614692766.5016077,0.0,0.0
1614692766.706676,0.512,0.0
1614692766.9117713,9.864,0.0
1614692767.1175528,0.148,0.0
1614692767.3236575,0.76,0.0
1614692767.5286834,0.5660000000000001,0.0
1614692767.7338042,0.368,0.0
1614692767.9391387,2.316,0.0
1614692768.2575843,6.482,0.0
1614692768.4612887,1.622,0.0
1614692768.6646998,0.0,0.0
1614692768.86829,0.78,0.0
1614692769.0740814,0.33,0.0
1614692769.2807734,0.0,0.0
1614692769.4880795,1.068,0.0
1614692769.6921942,5.142,0.0
1614692769.89608,8.726,0.0
1614692770.1000774,9.51,0.0
1614692770.3043067,0.548,0.0
1614692770.508246,0.9500000000000001,0.0
1614692770.7123978,7.898000000000001,0.0
1614692770.9169483,0.894,0.0
1614692771.123224,9.040000000000001,0.0
1614692771.3271291,0.0,0.0
1614692771.5312183,0.33,0.0
1614692771.73568,9.922,0.0
1614692771.9400344,7.474,0.0
1614692772.3239923,0.004,0.0
1614692772.52837,0.0,0.0
1614692772.7331512,0.004,0.0
1614692772.9367926,2.366,0.0
1614692773.1403904,9.620000000000001,0.0
1614692773.344234,0.004,0.0
1614692773.5478866,4.962,0.0
1614692773.7546756,2.884,0.0
1614692773.9596872,9.804,0.0
1614692774.164949,0.0,0.0
1614692774.3704944,9.506,0.0
1614692774.5761583,3.438,0.0
1614692774.7815144,6.55,0.0
1614692774.9895852,9.824,0.0
1614692775.1941884,0.016,0.0
1614692775.398686,2.33,0.0
1614692775.6030807,0.914,0.0
1614692775.8075938,0.004,0.0
1614692776.0258904,0.004,0.0
1614692776.3366253,7.192,0.0
1614692776.541091,2.976,0.0
1614692776.745571,6.448,0.0
1614692776.9502344,0.79,0.0
1614692777.1549225,0.004,0.0
1614692777.3594224,8.834,0.0
1614692777.5637727,7.252,0.0
1614692777.7684226,4.626,0.0
1614692777.9738493,9.43,0.0
1614692778.1785161,0.0,0.0
1614692778.3822608,4.968,0.0
1614692778.5856678,0.514,0.0
1614692778.7891898,0.504,0.0
1614692778.9928837,9.302,0.0
1614692779.196529,6.702,0.0
1614692779.4017036,3.638,0.0
1614692779.6070423,0.8300000000000001,0.0
1614692779.8121808,7.884,0.0
1614692780.0174413,7.494,0.0
1614692780.344431,6.954,0.0
1614692780.5478306,0.384,0.0
1614692780.7512224,0.148,0.0
1614692780.9549246,0.0,0.0
1614692781.1599777,0.004,0.0
1614692781.3636937,3.43,0.0
1614692781.5682619,0.9440000000000001,0.0
1614692781.7719738,7.698,0.0
1614692781.9754739,3.43,0.0
1614692782.1788867,0.812,0.0
1614692782.3836215,0.004,0.0
1614692782.5875678,2.2680000000000002,0.0
1614692782.7917566,2.098,0.0
1614692782.9980834,0.0,0.0
1614692783.2046988,8.382,0.0
1614692783.4083812,9.022,0.0
1614692783.6122525,7.114,0.0
1614692783.8159056,3.24,0.0
1614692784.0201492,9.018,0.0
1614692784.3270595,6.494,0.0
1614692784.5308697,5.446,0.0
1614692784.734634,0.004,0.0
1614692784.940831,7.38,0.0
1614692785.146182,0.482,0.0
1614692785.3514583,1.064,0.0
1614692785.5565817,8.668000000000001,0.0
1614692785.7630224,7.088,0.0
1614692785.9692028,5.7700000000000005,0.0
1614692786.175248,9.382,0.0
1614692786.3816333,0.004,0.0
1614692786.5880134,8.998,0.0
1614692786.7944076,0.0,0.0
1614692787.0003755,0.0,0.0
1614692787.2063794,7.88,0.0
1614692787.4128277,8.216,0.0
