Verbrauch [%]
37
35
34
32
30
28
26
24
23
22
21
21
21
21
21
21
21
21
21
21
21
21
21
22
23
25
27
30
33
37
41
44
48
52
55
59
62
64
66
68
68
69
69
69
70
70
72
73
74
76
76
77
76
74
72
70
68
66
64
63
62
62
62
61
61
60
60
60
60
61
62
64
66
68
70
72
74
75
76
75
75
73
71
69
67
65
63
62
62
62
62
61
58
54
50
45
