Verbrauch [%]
31
32
32
33
32
32
31
30
29
29
28
28
28
28
28
28
28
29
29
30
30
30
30
30
30
31
32
35
39
44
50
56
61
66
69
72
73
73
73
73
74
75
75
76
77
77
77
77
77
76
75
73
71
68
64
60
56
51
47
43
40
38
36
35
33
32
32
31
31
31
31
32
32
33
33
33
33
33
33
33
34
35
36
36
36
36
35
35
34
33
32
32
31
30
30
29
