Verbrauch [%]
40
36
32
29
26
24
23
22
22
21
21
20
20
20
20
19
19
20
20
21
21
22
23
25
28
33
38
44
48
51
54
55
56
57
59
60
60
60
60
60
59
59
58
58
58
58
58
59
61
63
65
67
68
67
65
63
60
58
56
54
52
51
50
49
48
48
48
48
48
49
50
52
53
55
58
60
63
66
68
70
71
71
70
69
68
67
66
65
64
63
62
59
56
53
49
45
