Verbrauch [%]
30
29
28
26
25
24
24
23
23
22
22
22
22
22
23
23
25
26
28
29
30
30
30
30
30
30
32
33
36
40
44
50
57
65
72
78
81
83
83
83
83
84
85
86
86
87
87
87
85
83
81
78
75
72
70
68
68
68
69
70
71
73
74
74
74
74
73
72
72
72
71
69
65
61
56
51
46
42
39
37
36
37
37
38
38
37
36
35
34
34
33
33
33
32
32
31
