Verbrauch [%]
42
38
36
33
31
29
27
25
24
23
22
22
21
21
21
21
21
21
21
21
21
20
20
20
20
21
22
23
25
27
30
34
39
44
50
55
60
65
69
72
75
77
79
80
83
85
87
88
89
89
87
84
80
75
70
66
63
61
59
57
55
53
51
48
47
45
44
44
44
45
46
47
49
51
54
56
59
62
65
67
67
67
66
65
64
63
62
61
61
60
58
55
52
47
43
38
