Sonne[%]
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
5
9
15
18
21
26
27
29
30
33
33
34
42
43
44
46
55
63
71
80
81
90
96
100
96
92
81
71
70
68
63
60
51
49
47
46
33
30
29
24
14
13
7
6
3
3
2
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
